variable_name;country;voivodship;entrants_status;sex;information_type_with_measure_unit;year;value;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;men;value [person];2015;8184;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;women;value [person];2015;9579;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;men;value [person];2016;7481;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;women;value [person];2016;9208;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;men;value [person];2017;7554;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;women;value [person];2017;9077;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;men;value [person];2018;7054;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;women;value [person];2018;8444;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;men;value [person];2019;7181;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;women;value [person];2019;8392;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;men;value [person];2020;7300;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;women;value [person];2020;8855;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;men;value [person];2021;8212;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;women;value [person];2021;9429;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;men;value [person];2022;8007;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;women;value [person];2022;9059;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;men;value [person];2023;7311;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;took;women;value [person];2023;9050;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2010;8171;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2010;11005;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2011;7090;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2011;9018;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2012;7425;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2012;9344;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2013;7019;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2013;9208;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2014;5881;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2014;7223;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2015;6054;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2015;6871;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2016;5873;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2016;7041;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2017;5833;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2017;6820;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2018;5474;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2018;6476;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2019;5691;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2019;6563;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2020;5248;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2020;6432;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2021;5901;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2021;6729;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2022;5971;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2022;6788;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;men;value [person];2023;6051;
Number of persons who took/passed a matriculation exam;Poland;Dolnośląskie;passed;women;value [person];2023;7385;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2010;8001;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2010;10636;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2011;7554;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2011;10334;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;men;value [person];2012;7218;
Number of persons who took/passed a matriculation exam;Poland;Kujawsko-pomorskie;took;women;value [person];2012;9541;
