variable_name;country;voivodship;entrants_status;sex;information_type_with_measure_unit;year;value;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2022;7760;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2022;9188;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2023;7330;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2023;8625;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2010;8243;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2010;10951;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2011;7330;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2011;9257;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2012;7287;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2012;9616;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2013;7097;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2013;9109;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2014;5777;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2014;7538;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2015;5843;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2015;7080;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2016;5820;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2016;7284;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2017;5699;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2017;7166;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2018;5583;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2018;6833;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2019;5624;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2019;6824;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2020;5270;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2020;6493;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2021;5528;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2021;6860;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2022;5877;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2022;7165;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;men;value [person];2023;6099;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;passed;women;value [person];2023;7218;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2010;15190;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2010;19794;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2011;14637;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2011;18681;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2012;13877;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2012;17914;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2013;13273;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2013;16982;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2014;12562;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2014;15697;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2015;11843;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2015;14577;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2016;11143;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2016;13893;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2017;11016;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2017;13789;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2018;11042;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2018;13826;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2019;11305;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2019;13824;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2020;11766;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2020;14072;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2021;12215;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2021;14415;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2022;12007;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2022;14401;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;men;value [person];2023;11226;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;took;women;value [person];2023;13832;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2010;12328;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2010;16558;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2011;11328;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2011;14413;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2012;11427;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2012;14782;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2013;10931;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2013;14343;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2014;8951;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2014;11630;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2015;9173;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2015;11297;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2016;9152;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2016;11410;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2017;9002;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2017;11482;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2018;9099;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2018;11580;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2019;9522;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2019;11778;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2020;8971;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2020;11162;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2021;9372;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2021;11437;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2022;9762;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2022;11915;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;men;value [person];2023;9941;
Number of persons who took/passed a matriculation exam;Poland;Małopolskie;passed;women;value [person];2023;12211;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2010;22265;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2010;27651;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2011;20920;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2011;26010;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2012;20796;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2012;25683;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2013;20071;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2013;24151;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2014;19384;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2014;23365;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2015;18074;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2015;21622;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2016;17140;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2016;20468;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2017;17474;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2017;20174;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2018;17099;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2018;19815;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2019;17218;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2019;20163;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2020;18763;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2020;21274;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2021;19900;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2021;22962;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2022;20350;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2022;23002;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;men;value [person];2023;19366;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;took;women;value [person];2023;22726;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2010;18015;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2010;22719;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2011;15920;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2011;19934;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2012;16628;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2012;20818;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2013;16004;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2013;19783;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2014;13571;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2014;16901;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2015;13439;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2015;16255;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2016;13982;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2016;16672;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2017;13953;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2017;16290;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2018;13712;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2018;16256;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2019;13908;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2019;16694;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2020;14158;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2020;16566;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2021;15541;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2021;18403;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2022;16436;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2022;19034;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;men;value [person];2023;16631;
Number of persons who took/passed a matriculation exam;Poland;Mazowieckie;passed;women;value [person];2023;19579;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2010;4148;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2010;5067;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2011;3597;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2011;4638;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2012;3502;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2012;4378;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2013;3303;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2013;4104;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2014;2970;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2014;3863;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2015;2888;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2015;3488;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2016;2665;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2016;3446;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2017;2686;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2017;3385;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2018;2522;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2018;3035;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2019;2634;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2019;3021;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2020;2670;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2020;3183;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2021;2865;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2021;3287;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2022;2690;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2022;3159;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;men;value [person];2023;2465;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;took;women;value [person];2023;2883;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2010;3368;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2010;4185;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2011;2661;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2011;3510;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2012;2756;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2012;3533;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2013;2610;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2013;3375;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2014;2019;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2014;2754;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2015;2188;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2015;2622;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2016;2132;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2016;2708;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2017;2093;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2017;2619;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2018;1971;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2018;2384;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2019;2120;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2019;2423;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2020;1957;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2020;2350;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2021;2022;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2021;2461;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2022;2029;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2022;2446;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;men;value [person];2023;2057;
Number of persons who took/passed a matriculation exam;Poland;Opolskie;passed;women;value [person];2023;2449;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2010;10459;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2010;13194;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2011;9937;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2011;12784;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2012;9405;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2012;12344;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2013;8959;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2013;11403;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2014;8437;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2014;10449;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2015;8154;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2015;9826;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2016;7463;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2016;9373;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2017;7575;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2017;9385;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2018;7244;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2018;8667;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2019;7239;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2019;8871;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2020;7523;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2020;8813;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2021;7715;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2021;9004;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2022;7448;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2022;8858;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;men;value [person];2023;7062;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;took;women;value [person];2023;8530;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2010;8263;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2010;10890;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2011;7303;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2011;9632;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2012;7408;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2012;9900;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2013;7056;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2013;9485;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2014;5678;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2014;7663;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2015;6035;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2015;7394;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2016;5870;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2016;7608;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2017;5850;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2017;7355;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2018;5712;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2018;7112;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2019;5698;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2019;7359;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2020;5412;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2020;6879;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2021;5542;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2021;6945;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2022;5710;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2022;7147;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;men;value [person];2023;5923;
Number of persons who took/passed a matriculation exam;Poland;Podkarpackie;passed;women;value [person];2023;7275;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2010;6004;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2010;7371;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2011;5643;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2011;6970;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2012;5483;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2012;6721;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2013;5360;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2013;6375;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2014;4867;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2014;5907;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2015;4441;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2015;5390;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2016;4112;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2016;5032;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2017;4108;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2017;4824;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2018;3797;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2018;4624;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2019;3841;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2019;4396;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2020;3807;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2020;4527;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2021;3998;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2021;4715;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2022;3905;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2022;4485;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;men;value [person];2023;3490;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;took;women;value [person];2023;4268;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2010;4785;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2010;6024;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2011;4271;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2011;5412;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2012;4429;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2012;5545;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2013;4294;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2013;5309;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2014;3380;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2014;4474;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2015;3253;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2015;4164;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2016;3277;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2016;4120;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2017;3292;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2017;3891;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2018;3028;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2018;3809;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2019;3151;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2019;3750;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2020;2785;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2020;3533;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2021;3170;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2021;3930;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2022;2899;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2022;3490;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;men;value [person];2023;2932;
Number of persons who took/passed a matriculation exam;Poland;Podlaskie;passed;women;value [person];2023;3610;
